Date,Crude_price_per_barrel,Stocks_per_thousand_barrels,No_of_days,Utilization_percentage,Exp_thousand_barrels_per_day,Imp_thousand_barrels_per_day,Gas_price_date,Gas_price_per_gallon
03/25/2022,113.69,18971,27.3,92.1,2988,6259,03/28/2022,4.152
03/18/2022,100.43,18344,27.0,91.1,3844,6486,03/21/2022,4.165
03/11/2022,113.39,17123,27.3,90.4,2936,6395,03/14/2022,4.252
02/25/2022,92.18,17714,28.0,87.7,3796,5767,02/28/2022,3.554
02/18/2022,92.89,17624,28.5,87.4,2686,6828,02/21/2022,3.48
02/11/2022,90.61,17746,28.7,85.3,2271,5790,02/14/2022,3.441
01/28/2022,86.94,18979,30.4,86.7,2376,7085,01/31/2022,3.321
01/21/2022,85.93,19797,30.2,87.7,2796,6236,01/24/2022,3.271
01/14/2022,81.52,19732,29.0,88.1,2610,6745,01/17/2022,3.255
12/31/2021,76.05,16986,25.6,89.8,2554,5884,01/03/2022,3.216
12/24/2021,71.63,17621,24.0,89.7,2929,6759,12/27/2021,3.211
12/17/2021,71.18,18992,24.8,89.6,2879,6194,12/20/2021,3.229
12/10/2021,71.31,17631,23.9,89.8,3645,6471,12/13/2021,3.252
11/26/2021,77.79,18884,23.5,88.8,2704,6604,11/29/2021,3.326
11/19/2021,78.99,17905,22.6,88.6,2605,6436,11/22/2021,3.344
11/12/2021,81.93,16585,22.7,87.9,3626,6191,11/15/2021,3.349
10/29/2021,83.84,16841,22.8,86.3,2925,6172,11/01/2021,3.352
10/22/2021,83.48,16675,23.0,85.1,2787,6254,10/25/2021,3.351
10/15/2021,81.18,16659,23.1,84.7,3060,5825,10/18/2021,3.297
09/24/2021,72.18,19423,24.1,88.1,3020,6552,09/27/2021,3.155
09/17/2021,71.69,20304,24.0,87.5,2809,6465,09/20/2021,3.169
09/10/2021,68.98,17435,23.2,82.1,2624,5761,09/13/2021,3.143
08/27/2021,67.59,19408,24.0,91.3,3040,6340,08/30/2021,3.118
08/20/2021,65.05,18197,23.7,92.4,2812,6157,08/23/2021,3.125
08/13/2021,68.33,19349,24.1,92.2,3431,6350,08/16/2021,3.155
07/30/2021,72.75,17742,24.3,91.3,1904,6432,08/02/2021,3.134
07/23/2021,69.68,18055,24.7,91.1,2489,6507,07/26/2021,3.118
07/16/2021,73.19,18446,25.0,91.4,2463,7097,07/19/2021,3.135
06/25/2021,73.48,21647,26.5,92.9,3717,6406,06/28/2021,3.062
06/18/2021,71.55,20827,26.4,92.2,3651,6943,06/21/2021,3.033
06/11/2021,70.11,20370,26.7,92.6,3884,6746,06/14/2021,3.041
05/28/2021,66.4,19666,25.5,88.7,2544,5631,05/31/2021,2.997
05/21/2021,64.11,19360,25.6,87.0,3433,6273,05/24/2021,2.99
05/14/2021,65.07,20812,26.2,86.3,3306,6411,05/17/2021,2.996
04/30/2021,63.47,21245,26.4,86.5,4122,5451,05/03/2021,2.859
04/23/2021,62.18,21464,26.3,85.4,2541,6616,04/26/2021,2.844
04/16/2021,61.93,19738,26.3,85.0,2548,5405,04/19/2021,2.836
03/26/2021,59.95,19995,26.6,83.9,3174,6145,03/29/2021,2.839
03/19/2021,63.22,19765,27.4,81.6,2481,5622,03/22/2021,2.849
03/12/2021,65.02,20899,28.5,76.1,2520,5323,03/15/2021,2.832
02/26/2021,62.3,22482,30.8,56.0,2351,6292,03/01/2021,2.689
02/19/2021,60.17,24437,32.9,68.6,2314,4599,02/22/2021,2.613
02/12/2021,58.54,24016,32.3,83.1,3862,5898,02/15/2021,2.475
01/29/2021,52.52,22702,32.3,82.3,3483,6507,02/01/2021,2.382
01/22/2021,52.82,23138,32.0,81.7,3355,5064,01/25/2021,2.363
01/15/2021,52.75,22438,31.4,82.5,2251,6045,01/18/2021,2.351
12/25/2020,47.73,27353,29.8,79.4,3625,5326,12/28/2020,2.225
