U.S. All Grades Conventional Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMM_EPM0U_PTE_NUS_DPG.W
12:06:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0U_PTE_NUS_DPG.W Dollars per Gallon
04/4/2022,4.096
03/28/2022,4.152
03/21/2022,4.165
03/14/2022,4.252
03/7/2022,4.031
02/28/2022,3.554
02/21/2022,3.48
02/14/2022,3.441
02/7/2022,3.401
01/31/2022,3.321
01/24/2022,3.271
01/17/2022,3.255
01/10/2022,3.238
01/3/2022,3.216
12/27/2021,3.211
12/20/2021,3.229
12/13/2021,3.252
12/6/2021,3.279
11/29/2021,3.326
11/22/2021,3.344
11/15/2021,3.349
11/8/2021,3.366
11/1/2021,3.352
10/25/2021,3.351
10/18/2021,3.297
10/11/2021,3.247
10/4/2021,3.168
09/27/2021,3.155
09/20/2021,3.169
09/13/2021,3.143
09/6/2021,3.156
08/30/2021,3.118
08/23/2021,3.125
08/16/2021,3.155
08/9/2021,3.157
08/2/2021,3.134
07/26/2021,3.118
07/19/2021,3.135
07/12/2021,3.112
07/5/2021,3.104
06/28/2021,3.062
06/21/2021,3.033
06/14/2021,3.041
06/7/2021,3.005
05/31/2021,2.997
05/24/2021,2.99
05/17/2021,2.996
05/10/2021,2.929
05/3/2021,2.859
04/26/2021,2.844
04/19/2021,2.836
04/12/2021,2.832
04/5/2021,2.845
03/29/2021,2.839
03/22/2021,2.849
03/15/2021,2.832
03/8/2021,2.749
03/1/2021,2.689
02/22/2021,2.613
02/15/2021,2.475
02/8/2021,2.438
02/1/2021,2.382
01/25/2021,2.363
01/18/2021,2.351
01/11/2021,2.298
01/4/2021,2.227
12/28/2020,2.225
12/21/2020,2.204
12/14/2020,2.132
12/7/2020,2.133
11/30/2020,2.093
11/23/2020,2.08
11/16/2020,2.089
11/9/2020,2.074
11/2/2020,2.092
10/26/2020,2.124
10/19/2020,2.134
10/12/2020,2.154
10/5/2020,2.161
09/28/2020,2.157
09/21/2020,2.149
09/14/2020,2.162
09/7/2020,2.193
08/31/2020,2.204
08/24/2020,2.161
08/17/2020,2.147
08/10/2020,2.149
08/3/2020,2.156
07/27/2020,2.155
07/20/2020,2.168
07/13/2020,2.181
07/6/2020,2.168
06/29/2020,2.162
06/22/2020,2.115
06/15/2020,2.084
06/8/2020,2.014
06/1/2020,1.952
05/25/2020,1.938
05/18/2020,1.845
05/11/2020,1.818
05/4/2020,1.753
04/27/2020,1.731
04/20/2020,1.77
04/13/2020,1.811
04/6/2020,1.877
03/30/2020,1.962
03/23/2020,2.083
03/16/2020,2.213
03/9/2020,2.344
03/2/2020,2.394
02/24/2020,2.441
02/17/2020,2.405
02/10/2020,2.396
02/3/2020,2.428
01/27/2020,2.482
01/20/2020,2.516
01/13/2020,2.549
01/6/2020,2.561
12/30/2019,2.555
12/23/2019,2.516
12/16/2019,2.518
12/9/2019,2.548
12/2/2019,2.554
11/25/2019,2.539
11/18/2019,2.544
11/11/2019,2.563
11/4/2019,2.555
10/28/2019,2.539
10/21/2019,2.581
10/14/2019,2.565
10/7/2019,2.581
09/30/2019,2.586
09/23/2019,2.627
09/16/2019,2.521
09/9/2019,2.517
09/2/2019,2.527
08/26/2019,2.538
08/19/2019,2.567
08/12/2019,2.59
08/5/2019,2.653
07/29/2019,2.68
07/22/2019,2.716
07/15/2019,2.745
07/8/2019,2.708
07/1/2019,2.674
06/24/2019,2.608
06/17/2019,2.621
06/10/2019,2.687
06/3/2019,2.757
05/27/2019,2.762
05/20/2019,2.789
05/13/2019,2.8
05/6/2019,2.834
04/29/2019,2.824
04/22/2019,2.785
04/15/2019,2.785
04/8/2019,2.71
04/1/2019,2.67
03/25/2019,2.604
03/18/2019,2.537
03/11/2019,2.458
03/4/2019,2.412
02/25/2019,2.372
02/18/2019,2.293
02/11/2019,2.251
02/4/2019,2.228
01/28/2019,2.229
01/21/2019,2.216
01/14/2019,2.212
01/7/2019,2.199
12/31/2018,2.227
12/24/2018,2.287
12/17/2018,2.338
12/10/2018,2.395
12/3/2018,2.422
11/26/2018,2.517
11/19/2018,2.594
11/12/2018,2.672
11/5/2018,2.738
10/29/2018,2.799
10/22/2018,2.828
10/15/2018,2.869
10/8/2018,2.892
10/1/2018,2.859
09/24/2018,2.841
09/17/2018,2.834
09/10/2018,2.829
09/3/2018,2.822
08/27/2018,2.824
08/20/2018,2.818
08/13/2018,2.836
08/6/2018,2.843
07/30/2018,2.834
07/23/2018,2.818
07/16/2018,2.852
07/9/2018,2.837
07/2/2018,2.824
06/25/2018,2.808
06/18/2018,2.852
06/11/2018,2.883
06/4/2018,2.91
05/28/2018,2.937
05/21/2018,2.893
05/14/2018,2.846
05/7/2018,2.851
04/30/2018,2.858
04/23/2018,2.814
04/16/2018,2.762
04/9/2018,2.707
04/2/2018,2.71
03/26/2018,2.659
03/19/2018,2.612
03/12/2018,2.574
03/5/2018,2.582
02/26/2018,2.561
02/19/2018,2.576
02/12/2018,2.63
02/5/2018,2.661
01/29/2018,2.634
01/22/2018,2.601
01/15/2018,2.589
01/8/2018,2.548
01/1/2018,2.554
12/25/2017,2.502
12/18/2017,2.478
12/11/2017,2.519
12/4/2017,2.528
11/27/2017,2.562
11/20/2017,2.597
11/13/2017,2.619
11/6/2017,2.583
10/30/2017,2.526
10/23/2017,2.523
10/16/2017,2.532
10/9/2017,2.547
10/2/2017,2.614
09/25/2017,2.629
09/18/2017,2.678
09/11/2017,2.728
09/4/2017,2.722
08/28/2017,2.438
08/21/2017,2.389
08/14/2017,2.416
08/7/2017,2.405
07/31/2017,2.386
07/24/2017,2.34
07/17/2017,2.303
07/10/2017,2.324
07/3/2017,2.278
06/26/2017,2.316
06/19/2017,2.339
06/12/2017,2.389
06/5/2017,2.437
05/29/2017,2.418
05/22/2017,2.418
05/15/2017,2.396
05/8/2017,2.401
05/1/2017,2.444
04/24/2017,2.484
04/17/2017,2.468
04/10/2017,2.463
04/3/2017,2.393
03/27/2017,2.341
03/20/2017,2.35
03/13/2017,2.353
03/6/2017,2.375
02/27/2017,2.346
02/20/2017,2.336
02/13/2017,2.34
02/6/2017,2.333
01/30/2017,2.337
01/23/2017,2.368
01/16/2017,2.407
01/9/2017,2.437
01/2/2017,2.429
12/26/2016,2.364
12/19/2016,2.316
12/12/2016,2.286
12/5/2016,2.25
11/28/2016,2.193
11/21/2016,2.192
11/14/2016,2.22
11/7/2016,2.27
10/31/2016,2.27
10/24/2016,2.286
10/17/2016,2.309
10/10/2016,2.327
10/3/2016,2.295
09/26/2016,2.276
09/19/2016,2.28
09/12/2016,2.246
09/5/2016,2.277
08/29/2016,2.292
08/22/2016,2.243
08/15/2016,2.203
08/8/2016,2.193
08/1/2016,2.198
07/25/2016,2.211
07/18/2016,2.254
07/11/2016,2.276
07/4/2016,2.311
06/27/2016,2.353
06/20/2016,2.393
06/13/2016,2.444
06/6/2016,2.43
05/30/2016,2.382
05/23/2016,2.339
05/16/2016,2.274
05/9/2016,2.249
05/2/2016,2.271
04/25/2016,2.182
04/18/2016,2.155
04/11/2016,2.085
04/4/2016,2.095
03/28/2016,2.079
03/21/2016,2.036
03/14/2016,1.988
03/7/2016,1.882
02/29/2016,1.817
02/22/2016,1.767
02/15/2016,1.747
02/8/2016,1.773
02/1/2016,1.837
01/25/2016,1.859
01/18/2016,1.917
01/11/2016,1.994
01/4/2016,2.027
12/28/2015,2.039
12/21/2015,2.035
12/14/2015,2.059
12/7/2015,2.074
11/30/2015,2.079
11/23/2015,2.117
11/16/2015,2.21
11/9/2015,2.269
11/2/2015,2.265
10/26/2015,2.262
10/19/2015,2.314
10/12/2015,2.376
10/5/2015,2.347
