U.S. Days of Supply of Total Gasoline Weekly
https://www.eia.gov/opendata/qb.php?sdid=PET.W_EPM0_VSD_NUS_DAYS.W
23:53:36 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.W_EPM0_VSD_NUS_DAYS.W Number of Days
03/25/2022,27.3
03/18/2022,27
03/11/2022,27.3
03/4/2022,28
02/25/2022,28
02/18/2022,28.5
02/11/2022,28.7
02/4/2022,29.2
01/28/2022,30.4
01/21/2022,30.2
01/14/2022,29
01/7/2022,27.7
12/31/2021,25.6
12/24/2021,24
12/17/2021,24.8
12/10/2021,23.9
12/3/2021,24.1
11/26/2021,23.5
11/19/2021,22.6
11/12/2021,22.7
11/5/2021,22.6
10/29/2021,22.8
10/22/2021,23
10/15/2021,23.1
10/8/2021,24.2
10/1/2021,24.6
09/24/2021,24.1
09/17/2021,24
09/10/2021,23.2
09/3/2021,23.1
08/27/2021,24
08/20/2021,23.7
08/13/2021,24.1
08/6/2021,24.1
07/30/2021,24.3
07/23/2021,24.7
07/16/2021,25
07/9/2021,24.9
07/2/2021,24.8
06/25/2021,26.5
06/18/2021,26.4
06/11/2021,26.7
06/4/2021,26.5
05/28/2021,25.5
05/21/2021,25.6
05/14/2021,26.2
05/7/2021,26.5
04/30/2021,26.4
04/23/2021,26.3
04/16/2021,26.3
04/9/2021,26.7
04/2/2021,27
03/26/2021,26.6
03/19/2021,27.4
03/12/2021,28.5
03/5/2021,28.5
02/26/2021,30.8
02/19/2021,32.9
02/12/2021,32.3
02/5/2021,32.5
01/29/2021,32.3
01/22/2021,32
01/15/2021,31.4
01/8/2021,31.5
01/1/2021,30.6
12/25/2020,29.8
12/18/2020,30.1
12/11/2020,30.2
12/4/2020,29.8
11/27/2020,28.2
11/20/2020,27.5
11/13/2020,26.9
11/6/2020,26.6
10/30/2020,27
10/23/2020,26.4
10/16/2020,26.5
10/9/2020,26.1
10/2/2020,26.4
09/25/2020,26.9
09/18/2020,26.6
09/11/2020,26.6
09/4/2020,26.5
08/28/2020,26.5
08/21/2020,27.1
08/14/2020,27.9
08/7/2020,28.4
07/31/2020,28.6
07/24/2020,28.5
07/17/2020,28.6
07/10/2020,28.7
07/3/2020,29.8
06/26/2020,31.2
06/19/2020,32
06/12/2020,33.6
06/5/2020,35.1
05/29/2020,35.6
05/22/2020,36.3
05/15/2020,38.3
05/8/2020,40.1
05/1/2020,44.8
04/24/2020,48.7
04/17/2020,47.6
04/10/2020,40.9
04/3/2020,34
03/27/2020,28.5
03/20/2020,25.8
03/13/2020,25.8
03/6/2020,27
02/28/2020,28.1
02/21/2020,28.8
02/14/2020,29.3
02/7/2020,29.7
01/31/2020,29.9
01/24/2020,30.6
01/17/2020,30.3
01/10/2020,29.6
01/3/2020,28.1
12/27/2019,26.5
12/20/2019,26.1
12/13/2019,26
12/6/2019,25.9
11/29/2019,25
11/22/2019,24.5
11/15/2019,23.6
11/8/2019,23.2
11/1/2019,22.9
10/25/2019,23
10/18/2019,23.8
10/11/2019,24.3
10/4/2019,24.8
09/27/2019,24.7
09/20/2019,24.5
09/13/2019,24.1
09/6/2019,23.6
08/30/2019,23.6
08/23/2019,23.7
08/16/2019,24.2
08/9/2019,24.1
08/2/2019,24.7
07/26/2019,24.2
07/19/2019,24.4
