U.S. Ending Stocks of Finished Motor Gasoline Weekly
https://www.eia.gov/opendata/qb.php?sdid=PET.WGFSTUS1.W
23:48:28 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.WGFSTUS1.W Thousand Barrels
03/25/2022,18971
03/18/2022,18344
03/11/2022,17123
03/4/2022,19062
02/25/2022,17714
02/18/2022,17624
02/11/2022,17746
02/4/2022,18739
01/28/2022,18979
01/21/2022,19797
01/14/2022,19732
01/7/2022,19127
12/31/2021,16986
12/24/2021,17621
12/17/2021,18992
12/10/2021,17631
12/3/2021,17617
11/26/2021,18884
11/19/2021,17905
11/12/2021,16585
11/5/2021,17244
10/29/2021,16841
10/22/2021,16675
10/15/2021,16659
10/8/2021,16261
10/1/2021,17573
09/24/2021,19423
09/17/2021,20304
09/10/2021,17435
09/3/2021,18729
08/27/2021,19408
08/20/2021,18197
08/13/2021,19349
08/6/2021,18355
07/30/2021,17742
07/23/2021,18055
07/16/2021,18446
07/9/2021,20783
07/2/2021,20540
06/25/2021,21647
06/18/2021,20827
06/11/2021,20370
06/4/2021,21004
05/28/2021,19666
05/21/2021,19360
05/14/2021,20812
05/7/2021,21146
04/30/2021,21245
04/23/2021,21464
04/16/2021,19738
04/9/2021,20783
04/2/2021,19062
03/26/2021,19995
03/19/2021,19765
03/12/2021,20899
03/5/2021,20471
02/26/2021,22482
02/19/2021,24437
02/12/2021,24016
02/5/2021,23580
01/29/2021,22702
01/22/2021,23138
01/15/2021,22438
01/8/2021,21821
01/1/2021,25262
12/25/2020,27353
12/18/2020,25667
12/11/2020,24518
12/4/2020,25543
11/27/2020,26076
11/20/2020,26203
11/13/2020,26412
11/6/2020,24930
10/30/2020,25407
10/23/2020,24524
10/16/2020,23612
10/9/2020,23036
10/2/2020,23387
09/25/2020,24171
09/18/2020,25247
09/11/2020,23730
09/4/2020,24673
08/28/2020,24862
08/21/2020,23036
08/14/2020,24173
08/7/2020,24018
07/31/2020,23538
07/24/2020,23647
07/17/2020,23438
07/10/2020,22883
07/3/2020,22795
06/26/2020,23684
06/19/2020,24470
06/12/2020,24713
06/5/2020,24529
05/29/2020,24141
05/22/2020,22944
05/15/2020,24469
05/8/2020,22564
05/1/2020,22444
04/24/2020,24510
04/17/2020,24008
04/10/2020,22527
04/3/2020,21522
03/27/2020,21284
03/20/2020,20069
03/13/2020,23726
03/6/2020,25239
02/28/2020,25956
02/21/2020,26711
02/14/2020,26915
02/7/2020,27219
01/31/2020,27776
01/24/2020,27467
01/17/2020,28671
01/10/2020,27351
01/3/2020,26474
12/27/2019,26181
12/20/2019,24759
12/13/2019,23582
12/6/2019,24645
11/29/2019,24613
11/22/2019,24092
11/15/2019,23054
11/8/2019,23175
11/1/2019,22207
10/25/2019,22048
10/18/2019,22796
10/11/2019,22966
10/4/2019,23269
09/27/2019,23415
09/20/2019,22549
09/13/2019,21873
09/6/2019,22733
08/30/2019,22223
08/23/2019,22267
08/16/2019,21755
08/9/2019,22811
08/2/2019,22903
07/26/2019,22580
07/19/2019,21841
07/12/2019,22697
07/5/2019,22445
06/28/2019,22332
06/21/2019,22710
06/14/2019,21895
06/7/2019,22690
05/31/2019,23246
05/24/2019,22829
05/17/2019,22923
05/10/2019,21330
05/3/2019,20823
04/26/2019,21325
04/19/2019,20682
04/12/2019,20754
04/5/2019,20593
03/29/2019,21933
03/22/2019,21412
03/15/2019,22327
03/8/2019,22956
03/1/2019,24542
02/22/2019,25310
02/15/2019,26867
02/8/2019,27050
02/1/2019,26585
01/25/2019,26998
01/18/2019,28813
01/11/2019,27391
01/4/2019,25704
12/28/2018,25914
12/21/2018,25568
12/14/2018,25592
12/7/2018,24349
11/30/2018,23206
11/23/2018,24614
11/16/2018,25114
11/9/2018,24975
11/2/2018,23727
10/26/2018,24219
10/19/2018,23209
10/12/2018,24684
10/5/2018,23720
09/28/2018,25440
09/21/2018,24523
09/14/2018,24862
09/7/2018,24521
08/31/2018,23046
08/24/2018,22329
08/17/2018,23933
08/10/2018,23162
08/3/2018,24220
07/27/2018,23364
07/20/2018,22628
07/13/2018,24237
07/6/2018,25188
06/29/2018,23400
06/22/2018,23636
06/15/2018,24983
06/8/2018,23700
06/1/2018,23848
05/25/2018,22786
05/18/2018,22015
05/11/2018,21907
05/4/2018,21785
04/27/2018,23750
04/20/2018,23304
04/13/2018,23168
04/6/2018,25014
03/30/2018,24259
03/23/2018,24577
03/16/2018,24533
03/9/2018,24215
03/2/2018,25169
02/23/2018,25921
02/16/2018,25891
02/9/2018,24182
02/2/2018,24511
01/26/2018,23449
01/19/2018,24019
01/12/2018,25124
01/5/2018,24375
