U.S. Percent Utilization of Refinery Operable Capacity Weekly
https://www.eia.gov/opendata/qb.php?sdid=PET.WPULEUS3.W
23:57:32 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.WPULEUS3.W Percent
03/25/2022,92.1
03/18/2022,91.1
03/11/2022,90.4
03/4/2022,89.3
02/25/2022,87.7
02/18/2022,87.4
02/11/2022,85.3
02/4/2022,88.2
01/28/2022,86.7
01/21/2022,87.7
01/14/2022,88.1
01/7/2022,88.4
12/31/2021,89.8
12/24/2021,89.7
12/17/2021,89.6
12/10/2021,89.8
12/3/2021,89.8
11/26/2021,88.8
11/19/2021,88.6
11/12/2021,87.9
11/5/2021,86.7
10/29/2021,86.3
10/22/2021,85.1
10/15/2021,84.7
10/8/2021,86.7
10/1/2021,89.6
09/24/2021,88.1
09/17/2021,87.5
09/10/2021,82.1
09/3/2021,81.9
08/27/2021,91.3
08/20/2021,92.4
08/13/2021,92.2
08/6/2021,91.8
07/30/2021,91.3
07/23/2021,91.1
07/16/2021,91.4
07/9/2021,91.8
07/2/2021,92.2
06/25/2021,92.9
06/18/2021,92.2
06/11/2021,92.6
06/4/2021,91.3
05/28/2021,88.7
05/21/2021,87
05/14/2021,86.3
05/7/2021,86.1
04/30/2021,86.5
04/23/2021,85.4
04/16/2021,85
04/9/2021,85
04/2/2021,84
03/26/2021,83.9
03/19/2021,81.6
03/12/2021,76.1
03/5/2021,69
02/26/2021,56
02/19/2021,68.6
02/12/2021,83.1
02/5/2021,83
01/29/2021,82.3
01/22/2021,81.7
01/15/2021,82.5
01/8/2021,82
01/1/2021,80.7
12/25/2020,79.4
12/18/2020,78
12/11/2020,79.1
12/4/2020,79.9
11/27/2020,78.2
11/20/2020,78.7
11/13/2020,77.4
11/6/2020,74.5
10/30/2020,75.3
10/23/2020,74.6
10/16/2020,72.9
10/9/2020,75.1
10/2/2020,77.1
09/25/2020,75.8
09/18/2020,74.8
09/11/2020,75.8
09/4/2020,71.8
08/28/2020,76.7
08/21/2020,82
08/14/2020,80.9
08/7/2020,81
07/31/2020,79.6
07/24/2020,79.5
07/17/2020,77.9
07/10/2020,78.1
07/3/2020,77.5
06/26/2020,75.5
06/19/2020,74.6
06/12/2020,73.8
06/5/2020,73.1
05/29/2020,71.8
05/22/2020,71.3
05/15/2020,69.4
05/8/2020,67.9
05/1/2020,70.5
04/24/2020,69.6
04/17/2020,67.6
04/10/2020,69.1
04/3/2020,75.6
03/27/2020,82.3
03/20/2020,87.3
03/13/2020,86.4
03/6/2020,86.4
02/28/2020,86.9
02/21/2020,87.9
02/14/2020,89.4
02/7/2020,88
01/31/2020,87.4
01/24/2020,87.2
01/17/2020,90.5
01/10/2020,92.2
01/3/2020,93
12/27/2019,94.5
12/20/2019,93.3
12/13/2019,90.6
12/6/2019,90.6
11/29/2019,91.9
11/22/2019,89.3
11/15/2019,89.5
11/8/2019,87.8
11/1/2019,86
10/25/2019,87.7
10/18/2019,85.2
10/11/2019,83.1
10/4/2019,85.7
09/27/2019,86.4
09/20/2019,89.8
09/13/2019,91.2
09/6/2019,95.1
08/30/2019,94.8
08/23/2019,95.2
08/16/2019,95.9
08/9/2019,94.8
08/2/2019,96.4
07/26/2019,93
07/19/2019,93.1
07/12/2019,94.4
07/5/2019,94.7
